epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1669.78,0.58384,1.0849,0.43598,1.28427,0.98093,0.97959,0.9796,0.79742,0.98093,0.97959,0.9796,0.83011,0.73335,0.47814,0.36336,1.69989,0.000360235,0.000360235,0.000360235
75,1692.12,0.58968,1.12832,0.46391,1.29798,0.97154,0.97531,0.98901,0.81808,0.97154,0.97531,0.98901,0.84639,0.70803,0.46024,0.35425,1.58844,0.000356823,0.000356823,0.000356823
76,1714.44,0.59114,1.03951,0.45304,1.28906,0.98037,0.98095,0.99202,0.81407,0.98037,0.98095,0.99202,0.84715,0.69985,0.47866,0.37329,1.6125,0.000353387,0.000353387,0.000353387
77,1736.82,0.58388,1.07875,0.4477,1.28834,0.98076,0.97091,0.99349,0.82933,0.98076,0.97091,0.99349,0.866,0.73344,0.46997,0.35807,1.65136,0.00034993,0.00034993,0.00034993
78,1759.29,0.5671,1.00888,0.41744,1.28657,0.96941,0.98095,0.99247,0.81647,0.97626,0.99048,0.99266,0.84622,0.70315,0.51038,0.36921,1.59119,0.00034645,0.00034645,0.00034645
79,1781.93,0.57583,1.0899,0.43818,1.28397,0.97762,0.9619,0.98772,0.83346,0.97762,0.9619,0.98772,0.86498,0.71161,0.49161,0.38844,1.62237,0.00034295,0.00034295,0.00034295
80,1804.53,0.56337,1.09486,0.44295,1.27233,0.99055,0.99803,0.995,0.82192,0.99055,0.99803,0.995,0.85641,0.72044,0.57809,0.3549,1.67322,0.00033943,0.00033943,0.00033943
81,1827.15,0.56094,1.03252,0.44307,1.27564,0.9629,0.98876,0.97906,0.81602,0.9629,0.98876,0.97906,0.84945,0.70994,0.47797,0.36472,1.62189,0.000335892,0.000335892,0.000335892
82,1849.67,0.5591,1.02445,0.43585,1.27511,0.97117,0.98095,0.98542,0.80064,0.97117,0.98095,0.98542,0.83197,0.67479,0.51571,0.36723,1.57776,0.000332335,0.000332335,0.000332335
83,1872.06,0.54115,0.99663,0.41356,1.23677,0.99036,0.97794,0.9876,0.82054,1,0.98747,0.995,0.83726,0.65612,0.57221,0.34827,1.60306,0.00032876,0.00032876,0.00032876
84,1894.47,0.54013,0.98685,0.40647,1.24427,0.97474,0.98095,0.98563,0.82167,0.97474,0.98095,0.98563,0.85181,0.71954,0.51505,0.35354,1.62713,0.00032517,0.00032517,0.00032517
85,1916.99,0.56279,1.00373,0.4355,1.26704,0.96165,0.97143,0.97396,0.80815,0.96165,0.97143,0.97396,0.8352,0.70544,0.5198,0.37351,1.63378,0.000321564,0.000321564,0.000321564
86,1939.45,0.53704,0.94444,0.37969,1.26323,0.9756,0.95238,0.97771,0.83524,0.9756,0.95238,0.97771,0.85214,0.67493,0.50752,0.34693,1.56417,0.000317943,0.000317943,0.000317943
87,1961.81,0.57375,1.07805,0.43995,1.27562,0.95321,0.9702,0.96959,0.81734,0.95321,0.9702,0.97254,0.83019,0.67609,0.54279,0.34367,1.61262,0.000314309,0.000314309,0.000314309
88,1984.01,0.52975,1.04452,0.42345,1.22569,0.96038,0.9619,0.96728,0.80013,0.96038,0.9619,0.96728,0.82917,0.71875,0.51886,0.35329,1.69823,0.000310662,0.000310662,0.000310662
89,2006.32,0.52662,0.97087,0.39757,1.21576,0.98074,0.9698,0.9936,0.82597,0.98074,0.9698,0.9936,0.84456,0.68742,0.52307,0.34499,1.62999,0.000307003,0.000307003,0.000307003
90,2028.81,0.54879,1.05483,0.40968,1.25929,0.97134,0.96831,0.98315,0.81501,0.97134,0.96831,0.98315,0.8438,0.72377,0.52761,0.36485,1.67113,0.000303333,0.000303333,0.000303333
91,2051.1,0.51666,0.96022,0.39669,1.24074,0.96155,0.95277,0.98517,0.81613,0.97116,0.96229,0.98681,0.85158,0.66166,0.51805,0.33259,1.58679,0.000299653,0.000299653,0.000299653
92,2073.78,0.52247,0.94595,0.41111,1.23127,0.98069,0.98095,0.99055,0.81907,0.98069,0.98095,0.99055,0.85296,0.70404,0.53326,0.32637,1.67365,0.000295964,0.000295964,0.000295964
93,2096.15,0.53562,1.03327,0.41452,1.23265,0.98072,0.96904,0.98762,0.83872,0.99036,0.97857,0.99251,0.85677,0.66388,0.51555,0.33351,1.58553,0.000292267,0.000292267,0.000292267
94,2118.7,0.53345,1.04165,0.40588,1.25005,0.96199,0.96413,0.99024,0.83454,0.97177,0.97143,0.99182,0.85337,0.65805,0.51736,0.35279,1.55479,0.000288562,0.000288562,0.000288562
95,2141.1,0.52958,1.06357,0.40623,1.23948,0.97937,0.98095,0.99028,0.83084,0.98888,0.99048,0.99386,0.85057,0.63539,0.56999,0.33642,1.52595,0.000284851,0.000284851,0.000284851
96,2163.38,0.52163,0.99344,0.39013,1.21665,0.97169,0.98073,0.9924,0.84893,0.97169,0.98073,0.9924,0.85758,0.63525,0.53697,0.33201,1.56405,0.000281134,0.000281134,0.000281134
97,2185.94,0.48748,0.84496,0.37596,1.19492,0.98073,0.96919,0.99064,0.8439,0.99036,0.97863,0.99252,0.86806,0.63986,0.45296,0.32325,1.56486,0.000277413,0.000277413,0.000277413
98,2208.43,0.53305,0.97172,0.41259,1.21851,0.97836,0.99048,0.98894,0.83815,0.97836,0.99048,0.98894,0.8661,0.65299,0.433,0.31896,1.55263,0.000273688,0.000273688,0.000273688
99,2230.85,0.52364,1.04806,0.39723,1.23293,0.99055,0.99877,0.99406,0.83729,0.99055,0.99877,0.99406,0.8557,0.64408,0.47243,0.31692,1.57278,0.00026996,0.00026996,0.00026996
100,2253.27,0.50031,0.95269,0.38547,1.20249,0.99026,0.96785,0.9926,0.82908,0.99026,0.96785,0.99312,0.84246,0.65529,0.49638,0.31859,1.60076,0.00026623,0.00026623,0.00026623
101,2275.77,0.5025,0.99953,0.39576,1.21789,0.97003,0.97143,0.98589,0.83033,0.97003,0.97143,0.98589,0.84609,0.68211,0.48114,0.34706,1.62453,0.0002625,0.0002625,0.0002625
102,2298.36,0.51874,0.95555,0.40769,1.23234,0.98539,0.97143,0.99325,0.83339,0.98539,0.97143,0.99325,0.85316,0.63521,0.46392,0.33207,1.53833,0.00025877,0.00025877,0.00025877
103,2320.79,0.50854,0.99638,0.40525,1.20602,0.98112,0.99002,0.99462,0.84015,0.98112,0.99002,0.99462,0.85403,0.63756,0.49071,0.33392,1.54239,0.00025504,0.00025504,0.00025504
